organizer,session-title,text
including solar and wind power in Shandong, Gansu, and Inner Mongolia. Our papers aim at exploring the research 
question: How did China make a balance between the development of green energy, economic development, and 
environmental governance? Our papers have the following findings. First, our papers observed that the green energy 
investment and industrial structure change did help to improve the energy efficiency and energy portfolio during the 11th 
Five-Year Plan and the 12th Five-Year Plan periods in Inner Mongolia. Second, our papers also found that owing to 
the bundled environmental policies from the central government, local governments and green company in Inner 
Mongolia and Shandong formulate different pattern in wind power development. Third, our papers discovered that the PV 
panel sectors were later embraced by the Chinese government as part of a set of industrial policies dedicated to new 
emerging strategic industries and an overall attempt to an increase of renewable energy use. As a result, China has 
emerged as a major producer of solar panels and modules as well as a major investor in solar PV installations at home. 
Finally, our papers realized that central government targets calling upon local governments to increase their installed 
capacity for wind energy and therefore now it has been substituted with targets to consume the generated power, causing 
local governments to attract high energy consuming industries to their regions, causing further environmental problems. 
"

Wendy Leutert,Shades of Red: Reinterpreting Chinas Early Reform and Opening Period ,"This panel challenges current interpretations about the politics of Chinas early reform and opening period. In Problems 
with Factions in Chinese Politics: the Case of Chen Yun, Joseph Torigian goes beyond the conventional factions 
account of the periods elite politics, leveraging new historical sources to reinterpret Chen Yuns relationship to Deng and 
his role in early economic reform policies. More broadly, the paper critiques the utility of a factions approach to 
understanding the elite politics of this period. In Mobilizing for Reform: Policy Experimentation and Implementation in 
Chinas State-owned Economy, Wendy Leutert analyzes the appropriation and creative adaptation of Mao-era mass 
mobilization efforts to advance market-oriented enterprise reforms. Drawing on enterprise and State Council records, she 
analyzes campaigns in three state firms from the 1980s through the 1990s. In China and the World Bank in the Post-
Bretton Woods and Early Reform Period,"" Federico Pachetti demonstrates that the domestic political economy of Chinas 
early reforms cannot be understood without analyzing its international dimension and specifically Chinas evolving 
relationship with international financial institutions. Using previously unexamined materials from the World Bank 
Archives and Chinese published sources he demonstrates how Chinas historic decision to rejoin the World Bank in 1980 
catalyzed exchanges of ideas and information, ultimately reshaping both China and the international economic system. 
"

Graham Chamness,Making and Faking Place at Chinese Literary Gatherings ,"This panel explores the way literary gatherings and representations of those gatherings have variously imagined, shaped, 
and playfully reconfigured ideas of place (and time) in pre-modern China. We use the term literary gathering as a 
convenience to refer to elite social gatherings which served as occasions of literary production and whose occasions 
became the subject of literary and visual representations. Literary gatherings are manifold in East Asias cultural past. 
This panel measures the impact of some of these gatherings on Chinas past and offers reflections on different 
methodologies for their future study in China and beyond. 

Our papers reflect a diversity of disciplinary approaches to literary gatherings across a span of time from the fourth to the 
sixteenth century. Graham Chamness (PhD candidate, Harvard University) adopts an intellectual-history perspective in his 
examination of the fluidity of place in poems composed at a poetry composition game in fourth-century southern China. 
Kay Duffy (PhD candidate, Princeton University) explores the socio-ritual dimensions of a spring festival used for 
holding literary gatherings in the third through sixth centuries. Benjamin Ridgway (Assistant Professor of Chinese, 
University of Puget Sound) conducts a literary analysis of the changing meaning of scenic sites in poems composed by 
elites gathering around West Lake (in Hangzhou) during the Northern and Southern Song dynasties (960-1279). Lihong 
Liu (Assistant Professor of Art History, University of Rochester) investigates the relationship between community and 
local place in pictorial representations of vicinities of Suzhou produced by scholar-artists of the Ming dynasty (1368-
1644). 
"

Mercedes Valmisa,Integrating Chinese Studies and Chinese Philosophy: Problems and New ,"This innovative methodological panel asks how current research in Chinese Studies might inform and positively influence 
the field of Classical Chinese Philosophy. The panelists, specialists in Comparative and Chinese Philosophy, History, 
Religion, and Literature, want to challenge the widespread view that notions such as the lack of author and school of 
thought are necessarily detrimental for pursuing philosophically oriented research. Instead, we consider the integration of 
textual, literary and historical knowledge in the study of Chinese Philosophy a necessary corrective for both the future of 
the discipline of Chinese Philosophy and an expanded, post-ethnocentric concept of Philosophy as such. 

The four speakers use case-studies of primary sources to highlight different aspects of this methodological and ideological 
issue, and to challenge one another with a clash of perspectives. Csikszentmihalyi opens with the fundamental question of 
how discourses about Chinese Philosophy can be adjusted to reflect destabilizing ideas such as corporate authorship. Jiang 
holds that, despite textual studies roles in the interpretation of Chinese Philosophy, the latter must maintain its own 
disciplinary norms and autonomy. Perkins, on the contrary, argues that new disciplinary norms informed by Chinese 
Studies will bring new opportunities to the development of Chinese Philosophy. Finally, Brindley explores how 
acknowledging that research in Chinese Philosophy necessitates multi-disciplinarity can help us conceive an enriched 
notion of Philosophy. 

The ten-minute, focused presentations, and the active role of the chair-discussant throughout the panel allow most of the 
time for discussion, encouraging timely and substantial interactions between panelists and with the audience. 
"

Tingting Xu,Making It Real: Intercultural and Intermedia Images in Late Imperial and Early ,"The zeal and enthusiasm for verisimilitude taking place in late imperial and early republican art of China is highlighted by 
a burgeoning interest in the notion of actuality and knowledge-based, or machine-rendered, trustful representations. 
Instead of indiscriminately applying the western term realism to related art practices, this panel explores a variety of 
realistic, pseudo-realistic and nominally realistic paintings and photographs produced between the eighteenth and 
twentieth centuries in China, and opens up to a broad reflection on issues of stylization, canonization and idealization that 
would contradict the artworks realistic shell. How did the imported realistic approach merge and renew Chinese 
traditions of nonfictional representation, and how did this merging collaborate or collide with concurrent agendas and 
strategies of art? While the intersection of realistic representations and mannered, unrealistic elements is the panels focus, 
all papers address encompassing concerns relevant to intermedia practices and intercultural viewership in this period. 
Matters raised for discussion include gendered portrait-making practices in Qing court ideology, and the pursuit of spirit-
likeness carried by a highly manipulated realistic depiction of the subjects; the conventionalized method of pairing 
panoramic views with serialized views of scenic spots in landscapes and the depiction of residential gardens; the 
integration of premodern pictorial vision, studio-based staging, and late-imperial official documentary practices in early 
Chinese landscape photography; and the stylization of European schemata and techniques of realistic paintings associated 
with the Chinese call for realism in early twentieth-century. 
"

Pengfei Zhao,"Displaced Youth: Migration, Education, and the Young Generations in Chinas Post-","From the May Fourth Movement to the present, Chinas youth has always played an important role in transforming the 
fate of the country. Their migration within and beyond China has powerfully shaped its sociopolitical landscape and 
reinforced Chinas connections to the world. Drawing upon empirical studies in anthropology, sociology, and education, 
our panel reveals how youths of different social statuses negotiated the structural and spatial constraints during their 
migration process in post-Mao China. Tracking the transnational mobility of college-age Chinese students, anthropologist 
Vanessa Fong (2011) has shown how Chinas youth has been ushered into the global neoliberal system through the 
education-migration nexus. Our panel pursues scholarly interests in youths of different social statuses and generations, 
and further reveals the heterogeneity of their migration patterns. Pengfei Zhaos paper examines how re-introducing 
merit-based examinations at the outset of the post-Mao reform occasioned rural youths transcendence of the rural-urban 
divide. The other three papers focus on more contemporary experiences: Anita Koo elucidates the strategies employed by 
the rural youth to increase their employment chances after graduation from urban vocational schools; Lisa Yiu analyzes 
the identities of rural migrant youth who excelled in urban public schools; Shuning Liu explores the considerations of 
urban elite youth when they select schools to prepare them for higher education abroad. Together the papers contribute to 
an interdisciplinary understanding of Chinese youths migration, as it relates to state-market dynamism in the post-Mao 
era beset by challenges of urbanization and globalization. 
"

Yuanhao Zhao,"Being Ethnic in China: Representing, Deploying, and Negotiating Hui-ness ","Being ethnic in China involves myriad discourses about individual and group identity and challenges ones competence to 
switch between discourses in different social-cultural and political contexts. This panel offers four case studies that 
analyze the ways one Chinese ethnic group, the Huis identity is represented, performed, and negotiated. Each paper 
focuses on forms and sites of Hui expressive culture to examine the employment of different identification discourses in 
various spatiotemporal settings. 

Sue Tuohy examines the ways that Huaer, a genre of folk songs that often is framed as a multi-ethnic genre, becomes 
represented as a Hui genre through labeling, narratives, and performance practices. Discussing two works written in 
Arabic and Chinese from the 1920s to 1950s by the Hui intellectual Ma Liangjun, Nakanishi Tatsuya suggests they reflect 
a switch in identification strategies to speak to different readers. Mario De Grandis analyzes modern Hui fiction writing to 
demonstrate how Hui authors mange in their literature to demonstrate their ethnic identity within state-approved 
practices by utilizing ethnic markers to promote their work, and circumvent state surveillance on religious expressions. 
And Yuanhao Zhao focuses on an aspect of Hui material culture, the ""tangping"" pitcher, examining the ways different 
agents employ and contextualize the pitcher to serve their own purposes and to highlight particular elements in being a 
Hui. 

These presentations examine the creative and artful ways that Hui-ness is represented, negotiated, and employed in the 
ongoing construction of the Hui ethnic group in China. 
"

Gerald Roche,Moral Economies of Language in Tibet ,"Language protests have been a consistent feature of Tibetan life in China during the past decade, from self-immolations, 
to street protests and online petitions. These protests are an intensification of a language activism culture that pervades 
everyday life in contemporary Tibet, and includes extracurricular education, various forms of creative expression, as well 
as grassroots corpus and status planning. Previous discussions of Tibetan language politics in both academic and popular 
forums typically draws on a broader heuristic that portrays protest and resistance in Tibet as a direct and proportional 
reaction to state-led exclusion, marginalization, and stigmatization. This political economy model of Tibetan action argues 
that an understanding of Chinese state policies and their implementations is sufficient for understanding Tibetans actions. 
In this panel, we argue that this approach needs to be complemented by an examination of the moral economies of 
Tibetan actors: what values and moral reasoning motivate people to make particular linguistic choices, including engaging 
in language activism? Presenters on this panel anthropologists, linguists, and folklorists discuss the moral logic 
underlying linguistic activism in Tibet: who participates, for what languages and which language issues, why, and in what 
ways? In doing so, we not only offer new insights into an important social dynamic in contemporary China, but also offer 
a new approach to understanding how people make decisions about language. 
"

Rowena Xiaoqing He,The Unbearable Heaviness of Becoming: Liu Xiaobo and Chinese Political ,"I have no enemies, wrote future Nobel Peace Prize Laureate Liu Xiaobo in the closing statement for his 2009 trial that 
he was not allowed to deliver in court. Liu, serving an eleven-year prison term for subverting state power, died on July 
13, 2017. Lius death and the tenth anniversary of Charter 08, a citizens manifesto that Liu disseminated and that led to 
his imprisonment, provide an occasion for reflection. 

Liu Xiaobos life journey is inseparable from the historical time in which he lived. From a freewheeling literary critic 
amidst the culture heat and political awakening of the 1980s, to a participant and a peacemaker in the 1989 Tiananmen 
Movement, and eventually a public intellectual devoted to Chinas peaceful democratic transformation, the last forty years 
of Lius life epitomized the evolution of political consciousness among Chinese intellectuals and ordinary Chinese 
citizens since the end of the Cultural Revolution. Lius experience was shaped by the historical context in China; at the 
same time, he himself became an agent for change. In death as in life, Lius name remains taboo in China. 

Our interdisciplinary roundtable will engage the audience in discussing Liu Xiaobos personal transformation in parallel 
with the making of Chinese political consciousness since the Reform Era, and the implications for China and the world. 
Weiping Cui, professor of Beijing Film Academy, personal friend of Liu Xiaobo, and signatory of Charter 08, will share 
her perspectives on Liu Xiaobo and 1980s China. Panel organizer Rowena Xiaoqing He, China-born Canadian historian 
specializing in the Tiananmen Movement, will focus on Liu Xiaobo in 1989; Sophie Richardson, China director at Human 
Rights Watch, will consider the domestic and international contexts of Charter 08 and Chinas citizens movements. Yujie 
Chen, Taiwan scholar focusing on criminal justice and human rights developments in Taiwan and China, will bring in her 
comparative perspectives from the experience of Taiwan.Panel chair Jerome Cohen, professor of Law and a leading expert 
on Chinese law and government, will suggest how past Chinese experiences inform the present and may influence the 
future. 
"

Max D. Woodworth,Speed and Temporality in Asian Urban Development ,"A popular observation of Asias urban development in recent decades is that it is fast. Scholarly literatures have also 
begun to probe the issue of speed in urban development through the lenses of fast policy (Peck and Theodore, 2015) and 
fast cities (Datta and Shaban, 2015). This panel takes inspiration from this foundational work and aims to push it in new 
directions. Specifically, the starting point for the assembled papers is to question ostensibly universal measures of time, 
speed, and space that underpin much of the scholarship on urban development and that have tended to reproduce 
understandings of city-making in terms of GDP growth, area size expansion, population statistics, labor force and 
investment figures, and so forth. Such approaches risk repeating dominant discourses of development while neglecting 
important insights from anthropology, history, and other fields regarding concurrent multiple temporalities and 
modernities (Massey, 1999; Woodside). Beginning from discrete ontological critiques of time and speed, this panel is 
concerned with deepening the ongoing theoretical explorations of these twin dimensions as they pertain to Asias urban 
development. Papers will, firstly, probe time and speed in their relational complexity with the social and spatial 
transformations of city spaces, secondly, will bring needed attention to the politics of speed and temporality for various 
social groups, and finally, will expand these themes with geographically diverse contributions. 
"

Zeb Raft,Audiences in Imperial China ,"The aim of this panel is to take a wide perspective on the nature and role of audiences in imperial China.  Audience is a 
manifold concept comprising, at a minimum, the audience a creator imagines for his or her work, the implied audience 
that emerges from the work itself, and the various actual audiences that perceive the work, either immediately and directly 
or in other places and future times, and in mediated or partial forms.  Our panel will examine these different dimensions, 
and the ways different disciplines have addressed them.  Specifically, the panels four case studies will build on recent 
audience-oriented scholarship in the study of China to address the following topics: What constellations of audience took 
shape in the fifth century literary imagination?  How did audience expectations influence Song dynasty landscape 
painting?  In what sense were the interrelated audiences for poetry and painting the same and how did they differ?  How 
might the modestly literate have perceived writing stylistically oriented toward an implied gentry audience? 

In keeping with our theme, this panel will have its own audience orientation.  Panelists will begin by very concisely 
presenting their arguments, or some salient point from their papers.  A short discussion period will follow.  Then, drawing 
on this audience feedback, participants will discuss a small selection of their primary sources. 
"

Huijun  Mai,The Meanings of Things: Material Culture in Middle Period China ,"Drawing on a variety of textual, visual, and historical materials, this interdisciplinary panel explores the ways in which the 
unprecedented interest in material things shaped the structure of knowing and learning in the Song Dynasty (960-
1279).The four papers that compose the panel collectively advance two propositions: that the wider cultural changes 
associated with the Song cannot be understood in insolation from the physical objects that conditioned these changes; and 
that the history of material culture would be incomplete without consideration of its intellectual, social and aesthetic 
underpinnings. We progress from literary engagements with things (Huijun Mai and Yunshuang Zhang), through 
discussions of the material dimensions of textual production (Ya Zuo), to analyses of material processes that occurred 
independently of writing (Jeffrey Moser). From the biographies of scallops to the mold-marks of bronzes, we move from 
the wordiest effusions of materiality in the documentary record to the silent things unvoiced in texts. In so doing, we 
explore the ways in which things, as both subjects and objects, shaped the Song experience. 
"

Ying  Hu,Filial Daughters in Twentieth-Century China ,"This panel investigates how womens filiality has been re-imagined in twentieth-century China as it intersects with rapidly 
changing gender roles and the rise of the modern woman. 

Even as the traditional patriarchal family came under discursive fire in the May-fourth Movement and again in Maos 
China, filiality as a cultural practice and ethical framework did not disappear. Instead, it underwent significant 
transformations, reappearing as either a social virtue of care or in the guise of mother-love. Through close analysis of 
poetry, biography, fiction, award petitions and field research, the four papers demonstrate that daughterly filiality 
remained potent and operative as Chinese women negotiated between their familial roles and public responsibilities. Some 
of us focus on the tension between womens pursuit of independence and social demands of elder care; some of us argue 
that the mother-daughter bond provided affective resources for the constructions of female subjectivity in modern China. 

As we engage in productive dialogue over this complex topic, it is clear that the lens of filiality allows us to observe fine 
nuances of womens gendered self-conception at crucial moments in Chinese modernity. Beyond individual case studies, 
we conceptualize the literary and political articulations of daughters filiality and the depth of its emotional and ethical 
appeal. 
"

Clemens  Buettner,"A Military Republic: The Militarization of Chinas State-Building, Nation-Building, ","The Chinese military shaped the Republics history extensively, but not only in the form of warlordism. Its influence on 
Chinas state and society manifested itself in other complex ways as well: (1) Many Chinese military men were 
professional soldiers who had been trained to acquire a specific set of values, virtues, and behavioral patterns - and their 
actions were motivated by it. (2) The Republican state- and nation-building projects were characterized by strong 
militaristic inclinations that depicted the military man as the engine of modernization, the symbol of strong nation-
statehood, and the embodiment of the qualities desired in the Republican citizen. Certain notions of professionalism and 
militaristic images thus amalgamated in ways that emboldened the Chinese soldier to assert his influence in areas beyond 
his original area of expertise. 

This panel argues that the actual extent to which the Chinese military influenced Republican state-building, nation-
building, and modernization efforts can only be grasped when the methodologies and theoretical considerations of the 
fields of warlordism, militarism, and military professionalism are combined. Together, they can provide systemic insights 
in institutional and organizational factors that facilitated the socio-political rise of the military, in the dynamics of civil-
military relations, in the preponderance of military values and considerations, and in the soldiers (self)-image, modes of 
thinking, conduct, and action. Each paper of this panel applies this multi-methodological approach, respectively focusing 
on reasons for military interference in politics, civic education in military academies, military substrata of Chinas 
material culture, and the armed forces obsession with modernity. 
"

Joshua  Eisenman,Red Chinas Green Revolution: Agricultural Modernization and Collective ,"This panel examines how changes in remuneration incentives and the spread of agricultural techniques, in particular, land 
terracing, increased productivity in Mao era China. Marc Blecher will chair the panel and serve as discussant. Sigrid 
Schmalzer will begin with a presentation on the history of terracing in Maoist China. Her paper will address how local 
knowledge was tapped and new technologies and techniques were successfully disseminated. Chinas research and 
extension system integrated land and laborsaving capital improvements and technical innovations and rewarded locally 
appropriate, results-driven investments. Joshua Eisenmans paper reveals how the commune extracted an increasing 
percentage of household savings to finance investments in productive capital and technology via this integrated research 
and extension system, thus kick-starting a continuous development process that produced rapid growth in food production. 
The workpoint remuneration system attracted members attention toward the size of their own portion relative to others 
and away from the extraction of their savings - a process he calls commune kabuki. Huaiyin Lis paper challenges the 
conventional wisdom that there was widespread shirking and inefficiency in agricultural production under the workpoint 
remuneration system. Li re-examines the issue of work incentives and how they constrained and motivated Chinese 
villagers participating in collective production. He explains the influence of non-institutional factors (i.e., local geography, 
demography and ecological conditions), and informal institutions (i.e., indigenous social networks, communal norms and 
collective sanction) on the structure of collective organization, income distribution and extraction. 
"

James  Flath,Beyond the Velvet Rope: The Role of Labor in Making Chinas Heritage Sites ,"It is widely accepted that heritage is a construct, built and assembled from bits and pieces of material remains and 
immaterial memories to create a version of the past that satisfies modern needs and desires. But how is heritage actually 
made? Who are the builders and assemblers? How much of heritage is accidental, and how much planned? 

Heritage enterprises, even those celebrating labor, tend to draw a distinction between labor and leisure. Heritage work is 
typically done after hours, behind closed doors, or in fenced off areas that are closed for renovation. By obscuring the 
role of labor in making heritage, its managers help to preserve the mystique of heritage as eternal and natural, existing 
somehow independent of the human touch. Recently, however, there has been an upsurge of interest in craftsmanship and 
the individuals who make heritage possible. 

These papers contribute to this emerging understanding of heritage as something that is made every day. Elizabeth 
Lawrence investigates the West Lake Five Year Plan of the 1950s, explaining how socialist labor management became 
essential to the continuity of a scenic site traditionally associated with leisure and gentility. James Flath explores that 
Hanyang Iron Works, where labor productivity has been replaced by a post-industrial chic culture and creative park that 
nonetheless claims labor as heritage. Lisheng Zhangs study peels back the surface of the Jianchuan Museum Complex to 
examine who does the work of creating museums and how their labor is managed. 
"

Zhiyi  Yang,Cultural Traditions and Political Legitimacy in Occupied China ,"This panel investigates the uses and abuses of cultural traditions for justifying or challenging rights of governance in 
Japanese-occupied China. After it swiftly conquered large swaths of Chinese territory, Japan faced the challenge of 
political legitimization. The cultural traditions of East Asia were thus co-opted into its wartime strategies and propaganda. 

The Chinese client regimes, notably, were all led by classically-educated men, who also attempted to advance their own 
interests, often by adopting the same Pan-Asianist rhetoric while subtly alternating its meaning. This interdisciplinary 
panel presents four case studies. Haosheng YANG examines the adaptations and revisions of Chinese, Japanese, and 
Western musical and cultural traditions in the production, performance, and reception of popular music, which created an 
ambiguous ethnic Manchukuo (1932-45) identity. SEKI Tomohide examines the character of the much-neglected East 
Hebei Autonomous Council (1935-38) through its leader Chi Zongmos Confucian idealism. YUAN Yidan argues that the 
revival of Late Qing discourse in occupied Beijing (1937-45) in effect reflected a contest among individual memory, 
collective memory, and Japanese propaganda. Zhiyi YANG examines the poetic exchanges around a painting on Jing Ke, 
a legendary assassin, to argue that the Wang regime at Nanjing (1940-45) exploited historical memory and lyric 
romanticism to build a community of feelings, which supplemented their institutional weakness. In summary, through 
music, philosophy, historiography, and literature, the client regimes responded to the crisis in legitimacy by creative 
appropriations of native cultural traditions to construct new senses of identity under occupation. 
"

Ling  Zhang,"Landscape, Cityscape, and Soundscape: Cold-War Literary Cosmopolitanism and ","The Cold War era has often been associated with isolation, blockage, hostility and ideological bipolarity: even current 
discussion of Cold War cultural cosmopolitanism and internationalism tend to concentrate on urban regions and exclude 
artistic practices bridging spaces and media. Our panel revisits this critical period from literary and audiovisual 
perspectives in order to highlight a circulatory cultural network that transcends such ostensible binaries such as rural and 
urban, local and global, Left and Right, and mental and manual labor. By exploring a set of literary institutions, 
intertextual discourses, and Chinese writers attempts to transcend these boundaries, we reveal the multilayered historical 
dimensions of cosmopolitanism and internationalism in and beyond China from the 1940s to 1960s. 

 

Zhange Ni studies how Catholic woman writer Su Xuelin negotiates her nationalist sentiments, Catholic identity, and 
cosmopolitan ideal through rewriting stories of Ming-Qing transition in the 1940s. Hui Xiao surveys the 1956-1966 issues 
of a Shanghai-based journal Budding and identifies a collective literary imagination that links local and global. Xiang 
Hes account of socialist writer Ru Zhijuans Lilies (1958) and The Warmth of Spring (1959) investigates the role of 
traditional ethical values in sustaining a life-and-death struggle and reorganizing urban space. Ling Zhangs paper 
examines Taiwanese leftwing writer Chen Yingzhens white terror trilogy from the perspective of acoustic memory, 
aiming to delineate the relations between literary soundscape, landscape, and third world internationalism. Our panel 
makes a contribution to the field by highlighting the intertextual and transnational cultural exchanges in spite of the 
Bamboo and Iron Curtain. 
"

Emily E. Wilcox,Remapping National Form: Center and Periphery in Artistic Canons in Socialist ,"Over the past decade, the expansion of Sinophone studies has brought increased attention within the modern Chinese 
studies field to artistic activities outside traditionally hegemonic centers of Chinese culture. Most notably, new research 
on artistic and literary production by ethnic minorities, overseas or diasporic communities, and rural people or migrants 
have helped to decenter the conventional centrality of Han, PRC, and urban perspectives. In this panel, we extend this 
approach to consider how the margins have shaped the centers in multiple ways, especially in the construction of national 
forms (minzu xingshi), or aesthetic practices that became state-sanctioned embodiments of Chinese culture during the 
socialist era. 

The panel focuses on the 1940s wartime period and the early PRC, examining the shifting nature and relationships of 
center and periphery in the formation of newly emergent artistic canons that achieved the status of socialist national 
forms. Each paper tackles these questions within a different artistic medium: Emily Wilcox shows how a third-generation 
Cantonese Trinidadian dancer, Dai Ailian, pioneered the development of Chinese dance; Charlotte DEvelyn investigates 
imagined references to Mongol or grassland themes in canonized musical repertoires of solo compositions for erhu; 
Christine Ho examines the tensions of regional inclusion and global ambition in the search for national forms in 
vernacular designed surfaces; and Anne Rebull analyzes the negotiations between rural representation and urban power in 
the filmic circulation of regional dialect xiqu plays. Overall, the papers interrogate the idea that center-periphery 
relations are either inherently binary or characterized by fixed power relations. 
"

Rebecca Doran,Hearing Womens Voices: Meaning-Making and Misinterpretation of Female-,"In recent decades, scholars working across diverse disciplines have increasingly recognized the importance of gender as a 
socio-historically and politically significant marker influencing womens participation in different modes of cultural 
production as well as how those contributions were evaluated. Our panel brings together four papers that explore the 
diverse, and at times quite ingenious, ways in which women occupying various social roles in medieval China have 
fashioned for themselves meaningful modes of expression both textual and non-textual or challenged how womens 
voices have been ascribed delimited meanings in male-centric discourse. Rebecca Dorans paper examines examples of 
fuyao (ornamentation anomaly) that criticize fashions created by negatively evaluated women leaders, approaching these 
narratives in terms of attitudes to personal ornamentation as a communicator of identity and fuyao as a category of 
sumptuary regulation. Hu Qiuleis paper analyzes the dubious claims made in 4th and 5th century anecdotal literature 
about female authorship of pentasyllabic poetry during the late Han and early Six Dynasties period, questioning whether 
these attributions are less about historical reality than the exigences of later male-centered poetic practices. Wangling 
Jinghuas paper similarly engages issues of female authorship and anthologization, examining the practice, contributions, 
and erasure of the poetic voices of female entertainers within the male-dominated poetic world of the late Tang. Finally, 
Alexei Ditters paper looks at rare examples of female-authored muzhiming in the early Tang, and how these 
compositions inform us, in their own words, about womens role in the construction of memory and their experiences of 
death. 
"

Natasha Heller,Creating Communities in Modern Chinese Religious Life ,"Our panel intends to examine Chinese religious communities in a variety of cultural contexts, so as to both engage with 
and contest existing models of community building. By comparing diverse modes of religious community in our case 
studies, we will address questions such as the identities of people who construct representations of religious communities, 
the indigenous and external origins of such ideas, similarities and differences between them, and their reception among 
outsiders. The paper by Kao Ya-ning explores how Zhuang shamans (mostly women) form religious communities through 
spiritual, professional and client networks, including the creation of ritual families. Ideas of family also lie at the core of 
Paul Katzs paper, which focuses on how modern lay Buddhists envisioned the familys role in building Buddhist 
communities and engaging with (or rejecting) non-Buddhist ones. The paper by Nikolas Broy analyzes how the 
Yiguandao (Way of Pervading Unity) strives to create a community of Dao followers via discourse and practice, 
which resembles Buddhism in extending to families, congregations, society, and the globe. Natasha Hellers paper 
assesses how Taiwanese textbooks represent religions role in community formation, viewing religious institutions and 
practices as valuable in terms of fostering common values yet downplaying their spiritual aspects. Papers will be limited 
to 15 minutes to allow sufficient time for our discussant (Raoul Birnbaum) to suggest key issues in the study of religious 
community formation and maintenance, as well as the panelists and audience to consider these issues in conversation. 
"

Chunmei Du,"Reexamining Cold War Politics in China Behind Front Lines, 1940s-1950s ","Political, diplomatic, and military histories have long been the center of Cold War studies in the United States and China. 
Existing research relies largely on central government documents, and is mainly concerned with American and the Soviet 
influence in Chinese civil war, especially the roles of political parties and figures, diplomatic exchanges, and military 
strategies. This roundtable discusses new approaches and sources in the study of Cold War politics in China in the 1940s-
1950s. Participants focus on how socio-cultural forces have helped shape war and its memories, using less-known or less-
used primary sources. In particular, Zhiguo Yang shows that the U.S. military authorities in Qingdao were more occupied 
by handing daily incidents involving U.S. military personnel and Chinese civilians than supporting the Nationalist defense 
against encroaching Communist forces. Chunmei Du examines American military sexual violence and romance embodied 
in the Chinese jeep girls, focusing on how race, gender, sexuality, and class affected the daily interactions of GIs and 
Chinese urban civilians after World War II. Matthew Johnson introduces less visible political units and military activities 
including espionage and counter-espionage, clandestine propaganda campaigns, and other suasion and influence 
operations, to reveal complex interactions between military forces and society. Xiaobing Li suggests that Chinese and 
Soviet militaries in the 1950s were not only political institutes obsessed with military technologies, but also social and 
cultural institutes thatbelieved military modernization was part of their ongoing social revolution and political 
consolidation. 

Following the four mini-presentations, participants will first compare their discoveries with each other and discuss how 
their approaches differ from more traditional historiography. They will then invite audience for a dialogue, and share their 
extensive archival experience in mainland China, Taiwan, and the United States especially on new opportunities and 
challenges. For example, how to make more effective use of newly digitized municipal archives in China in the middle of 
tightening political control? How to better navigate the over-general index and search system in the National Archives and 
American military archives? The roundtable will be useful for a variety of scholars interested in Chinese history, Cold 
War studies, and archival research. 
"

Eric Ping Hung Li,"Art, Design, Cultural Identity and Politics: Understanding Contemporary Social ","This multidisciplinary panel aims to connect latest academic dialogue between arts and design, cultural identity and 
politics. The four presenters in this panel will showcase their works on Chinese diaspora (Chinese-Canadian) regarding 
their identity reconfiguration and politics in the globally connected Chinese cultural landscape and in the multicultural 
society of Canada. The recent economic development not only turns China into one of the super powers in the global 
economy but also transforming the cultural landscape and the stereotypes within and outside the nation-states 
geographical boundary. It is evident that artists/designers often use different visual artefacts and representations (e.g., 
image, symbol, object) to express ideas, inner feelings, past experiences and worldviews. In other words, the creative arts 
can be used as a form of expression and communication. 

The proposed AAS panel and the four presentations seek to address the following questions: How do Chinese Canadians 
use different art forms and designs to express themselves and connect with others? How do Chinese Canadians consume 
design products such as fashion/clothing to negotiate, (re)construct, and (re)define their identity over the course of 
acculturation and assimilation? What role do ethnic art and cultural festivals play in a multicultural society? Are there any 
connections and similarities among the visual arts and designs between Canada and Greater China (Mainland China, Hong 
Kong, Macau, Taiwan)? In summary, it is reasonable to suggest that art and design play a very important role in shaping 
and fostering the socio-cultural values of a society (e.g., Clavier and Kauppienen, 2014; DiMaggio and FernÃ¡ndez-Kelly, 
2015; Martiniello, 2015; Martiniello and Lafleur, 2008; Salzbrunn, 2014; Vanderwaeren, 2014). In order to understand the 
inner feeling, outward manifestation, and personal experience of ethnic minorities, scholars have used art and design as a 
vehicle to examine and illuminate different issues related to ethnic identity, cultural diversity, and transcultural values. 
"

Shu Yang,Women Were There - and Then? Gender Transformation on and Behind the Socialist ,"The concern of recuperative feminist historians to put women back into history as participants might seem irrelevant to 
socialist China. From the early years of the Peoples Republic, women were publicly declared an indispensable part of the 
workforce and the upholders of half the socialist sky. Yet the official boasts regarding womens presence and liberation 
are unsettling. They arrogantly covered up serious and specific questions such as: Which women were there? Where were 
they specifically? In what ways were they presenting themselves or being presented? For how long were they made 
visible? What were the womens perceptions of their presence? 

This socialist gender panel completes and complicates those moments in womens participation in socialist China. The 
papers examine different forms of womens presence and the various gestures women adopted and/or adapted in their 
encounter with an era that was both empowering and constraining for them. While Lunpeng Ma analyzes iconography and 
female subjectivity through womens screen presence as socialist exemplars, Daisy Du focuses on real socialist 
professional women off the screen through her research on Shanghai animation studio. Shu Yang and Mi Zhao question 
the states glorious promise of liberation and progress. Shu Yang discusses the rehabilitation of once negative shrewish 
